CNN,STREET,COLOR
12562101,EMBARCADERO,Green
12562101,MIDBLOCK AT,Red
12562101,PIER 39,Green
24933000,HYDE,Green
24933000,TURK,Green
24720000,KEARNY,Green
24720000,SUTTER,Green
26045000,GOLDEN GATE,Green
26045000,STEINER,Green
22128000,SAN JOSE,Green
22128000,SANTA ROSA,Green
30735000,MARKET,Green
30735000,MONTGOMERY,Green
30735000,NEW MONTGOMERY,Green
30735000,POST,Green
33540000,BROTHERHOOD,Green
33540000,LAKE MERCED,Green
26598000,BUSH,Green
26598000,WEBSTER,Green
21743000,MISSION,Green
21743000,OCEAN,Green
24766000,COLUMBUS,Green
24766000,JACKSON,Green
24919000,MASON,Green
24919000,POST,Green
25196000,FRANKLIN,Green
25196000,O'FARRELL,Green
25196000,STARR KING,Green
26199000,CARMEL,Green
26199000,CLAYTON,Green
26199000,TWIN PEAKS,Green
24904000,O'FARRELL,Green
24904000,POWELL,Green
25726000,16TH ST,Green
25726000,CHURCH,Green
25614000,24TH ST,Yellow
25614000,DOLORES,Green
26050000,DIVISADERO,Green
26050000,FELL,Green
22053000,ALEMANY,Green
22053000,SENECA,Green
22095000,DELANO,Green
22095000,GENEVA,Green
24734000,MONTGOMERY,Green
24734000,SACRAMENTO,Green
25829000,DOUGLASS,Green
25829000,MARKET,Green
23775000,16TH ST,Green
23775000,KANSAS,Green
27301000,10TH AVE,Green
27301000,GEARY,Green
26486000,STANYAN,Green
26486000,TURK,Green
25869000,BUCHANAN,Green
25869000,HAIGHT,Green
26600000,SUTTER,Green
26600000,WEBSTER,Green
24968000,BUSH,Green
24968000,JONES,Green
26544000,FRANKLIN,Green
26544000,JACKSON,Green
24543000,02ND ST,Green
24543000,NATOMA,Green
27628000,LAKE,Green
27628000,PARK PRESIDIO,Green
33375000,DIAMOND,Green
33375000,MONTEREY,Green
6436205,GREAT HWY,Green
6436205,PACHECO,Green
27737000,IRVING,Green
27737000,SUNSET,Green
26930000,GEARY,Green
26930000,PARKER,Green
26302000,PARNASSUS,Green
26302000,STANYAN,Green
24313000,09TH ST,Green
24313000,MISSION,Green
27611000,12TH AVE,Green
27611000,CALIFORNIA,Green
27978000,FULTON,Green
27978000,LA PLAYA,Green
24305000,09TH ST,Green
24305000,HOWARD,Green
23541000,03RD ST,Green
23541000,25TH ST,Green
26687000,FRANKLIN,Yellow
26687000,UNION,Green
23773000,16TH ST,Green
23773000,RHODE ISLAND,Green
27249000,05TH AVE,Green
27249000,GEARY,Green
21841000,30TH ST,Green
21841000,DOLORES,Green
26846000,CALIFORNIA,Green
26846000,PRESIDIO,Green
26033000,BAKER,Green
26033000,BUENA VISTA,Red
26033000,HAIGHT,Green
23978000,24TH ST,Green
23978000,HARRISON,Green
26200000,17TH ST,Green
26200000,CLAYTON,Green
26379000,FULTON,Green
26379000,MASONIC,Green
25563000,POLK,Green
25563000,UNION,Green
25167000,LARKIN,Green
